policy_id,age,vehicle_type,vehicle_age,annual_mileage,accident_history,claim
227,67,Motorcycle,14,8282,3,false
228,23,Tractor,4,17505,5,false
229,72,Tractor,11,22701,5,true
230,45,Tractor,11,11471,4,false
231,33,Truck,18,29797,1,false
232,67,Truck,7,6929,3,false
233,31,Motorcycle,19,28123,3,true
234,37,Tractor,4,20765,4,false
235,58,SUV,13,12946,2,true
236,30,Sedan,20,26384,1,false
237,19,SUV,13,21185,1,false
238,56,Tractor,10,8149,5,true
239,29,Tractor,5,24171,0,true
240,53,SUV,9,21129,0,false
241,54,Motorcycle,18,12458,0,true
242,46,Sedan,14,13315,4,false
243,57,Motorcycle,9,11545,2,true
244,34,Motorcycle,18,15259,1,false
245,41,Sedan,5,29051,4,false
246,56,SUV,5,6188,3,false
247,21,Sedan,0,16379,1,false
248,46,Truck,2,24514,4,true
249,26,Tractor,7,25169,0,true
250,62,Truck,4,15940,0,false
251,40,Sedan,4,26295,1,true
252,40,Motorcycle,5,17040,2,true
253,54,Sedan,3,28627,0,true
254,78,Motorcycle,8,23302,4,false
255,76,Motorcycle,0,14364,2,true
256,41,SUV,7,24691,5,true
257,65,Sedan,3,23036,5,true
258,22,SUV,0,29203,4,false
259,61,SUV,15,29329,3,false
260,62,Tractor,1,29409,2,false
261,80,Motorcycle,17,15381,1,true
262,68,Tractor,2,6792,4,false
263,80,SUV,5,22982,3,true
264,65,Tractor,0,9464,2,false
265,59,Tractor,9,28440,5,true
266,71,Tractor,18,23044,5,true
267,43,SUV,7,29437,4,false
268,19,SUV,0,22411,4,true
269,30,Motorcycle,9,27054,4,true
270,26,Motorcycle,6,21351,3,true
271,52,Motorcycle,8,19873,1,false
272,48,Tractor,14,19564,1,true
273,53,Truck,6,21730,0,false
274,65,Sedan,8,13346,2,true
275,23,Truck,2,20486,0,true
276,50,Sedan,9,17550,0,false
277,27,Sedan,6,20843,2,true
278,39,Truck,11,7849,5,true
279,76,Motorcycle,14,8400,1,true
280,32,SUV,9,18568,2,false
281,67,Truck,1,8880,3,true
282,68,SUV,15,25199,1,true
283,70,Motorcycle,12,28460,2,false
284,64,SUV,3,12874,5,false
285,62,Truck,5,22714,1,false
286,47,Tractor,0,23282,5,false
287,52,Tractor,9,11928,0,false
288,60,SUV,4,5889,1,false
289,25,Tractor,4,28440,3,false
290,79,Sedan,18,24290,3,true
291,34,Sedan,19,18779,0,true
292,32,SUV,4,20935,4,false
293,59,Sedan,2,24961,0,false
294,54,SUV,10,29278,1,false
295,24,Truck,6,19325,2,true
296,28,Tractor,7,23546,3,false
297,18,SUV,4,10684,3,true
298,34,Motorcycle,17,25167,1,true
299,22,Tractor,18,18318,1,false
300,22,Sedan,6,19175,2,false
301,21,Sedan,6,27697,2,false
302,69,Motorcycle,10,15508,0,true
303,77,Sedan,6,24997,5,false
304,71,SUV,4,23748,4,true
305,45,Sedan,11,25848,2,false
306,61,Tractor,13,20995,5,true
307,23,SUV,4,10430,0,false
308,53,Motorcycle,15,27975,5,false
309,69,Tractor,1,26256,1,true
310,32,SUV,16,14181,3,true
311,61,Motorcycle,20,26211,5,false
312,52,Tractor,13,11221,4,false
313,47,Truck,1,18515,1,false
314,21,SUV,18,6865,0,true
315,31,SUV,11,21938,2,false
316,35,Sedan,15,5455,0,false
317,65,Tractor,0,19551,2,true
318,24,Motorcycle,14,21508,5,true
319,66,Motorcycle,3,26884,4,false
320,23,Motorcycle,17,25488,5,false
321,20,Truck,11,6102,4,true
322,53,Tractor,10,10391,2,true
323,48,SUV,8,28972,1,true
324,49,SUV,11,8918,0,true
325,30,Sedan,0,9932,5,true
326,39,Sedan,9,6157,2,false
327,37,Sedan,11,6308,2,false
328,51,Tractor,19,23230,5,true
329,51,SUV,5,22246,3,true
330,76,SUV,6,28132,4,false
331,75,SUV,17,29507,1,true
332,27,Motorcycle,16,6620,5,true
333,44,SUV,20,5520,2,true
334,29,SUV,2,20537,3,false
335,61,Truck,16,21130,3,true
336,60,Tractor,5,19270,1,true
337,60,Truck,13,18108,3,true
338,26,Motorcycle,13,16573,3,false
339,19,Tractor,20,25529,0,false
340,20,Motorcycle,16,20769,1,false
341,44,Truck,16,18966,0,false
342,49,Motorcycle,8,7054,4,true
343,80,Truck,10,17424,5,true
344,39,Sedan,12,5684,5,false
345,77,Motorcycle,4,9721,3,false
346,39,SUV,15,22249,5,true
347,59,SUV,18,22559,1,true
348,26,Sedan,7,7125,3,true
349,57,Tractor,3,8330,5,false
350,43,SUV,20,8707,1,true
351,31,Sedan,10,14661,2,false
352,40,SUV,6,5230,4,true
353,48,Sedan,10,28011,1,true
354,63,Truck,3,28752,1,false
355,52,Motorcycle,17,20243,1,true
356,68,Tractor,4,9035,2,true
357,43,Truck,0,19061,1,true
358,67,Sedan,12,6215,1,false
359,44,Truck,10,11982,1,false
360,29,Tractor,10,26045,1,false
361,41,Motorcycle,4,28937,3,false
362,39,Motorcycle,13,22687,5,false
363,73,Tractor,14,24747,1,false
364,59,Truck,6,27155,5,true
365,51,SUV,1,9281,4,false
366,73,Sedan,4,14389,5,false
367,54,Tractor,14,28384,2,false
368,67,Sedan,1,24728,4,true
369,46,Sedan,6,16248,5,true
370,27,Truck,4,5623,2,true
371,39,Motorcycle,13,7450,2,true
372,24,SUV,2,23310,2,true
373,40,Motorcycle,4,29338,3,false
374,52,SUV,15,15963,0,true
375,51,Tractor,2,21803,1,true
376,63,SUV,0,17441,1,true
377,72,Motorcycle,12,11605,4,false
378,19,Truck,10,17447,2,true
379,24,Truck,0,9970,0,true
380,20,Tractor,14,10202,4,true
381,68,Sedan,2,11079,5,true
382,75,SUV,14,25542,3,true
383,51,SUV,4,15945,2,true
384,23,Truck,16,5762,4,true
385,19,Truck,20,26916,0,true
386,63,Sedan,3,19754,2,true
387,78,Motorcycle,12,13712,5,true
388,25,SUV,2,8241,2,true
389,45,Truck,8,26513,0,false
390,33,SUV,10,20134,2,false
391,19,Motorcycle,13,10521,3,false
392,69,SUV,12,28877,3,true
393,75,Sedan,1,13420,4,true
394,58,Motorcycle,6,26646,4,false
395,27,Motorcycle,2,10388,2,true
396,50,Motorcycle,2,12849,0,true
397,79,Motorcycle,10,20646,5,false
398,22,Motorcycle,10,10798,4,false
399,47,Truck,6,10695,3,true
400,68,Truck,12,20167,3,true
401,67,Sedan,7,23273,5,false
402,48,Motorcycle,5,20645,1,false
403,28,Truck,11,26320,3,false
404,18,Motorcycle,10,5599,1,true
405,71,Tractor,10,26106,1,true
406,80,Tractor,12,6927,2,true
407,20,Motorcycle,18,26321,1,true
408,26,SUV,8,10658,3,true
409,68,SUV,20,14366,2,false
410,19,Tractor,12,20896,5,true
411,26,Tractor,10,12920,2,true
412,79,Motorcycle,5,20089,3,false
413,36,Motorcycle,13,26825,3,false
414,69,SUV,17,29593,3,false
415,68,Truck,16,9738,1,true
416,23,Truck,12,16074,2,false
417,60,SUV,10,19510,1,true
418,76,Truck,15,11378,0,false
419,41,Tractor,13,9743,0,false
420,55,SUV,18,17713,5,true
421,66,SUV,14,19348,0,false
422,70,Truck,7,27356,0,true
423,68,Tractor,7,16798,4,true
424,64,Motorcycle,5,6877,3,true
425,65,Tractor,0,28759,1,true
426,19,Tractor,15,28650,2,true
427,29,Tractor,9,7821,0,true
428,39,Sedan,16,24783,1,false
429,25,Sedan,1,21682,2,true
430,45,Truck,8,22706,4,true
431,35,Tractor,12,29292,4,false
432,63,SUV,15,21787,1,true
433,25,Tractor,16,22865,1,true
434,35,Sedan,9,8770,2,false
435,18,Truck,13,27603,2,true
436,63,SUV,17,14775,1,false
437,77,Truck,11,10352,4,false
438,77,Tractor,7,22494,2,false
439,31,Tractor,19,12742,4,false
440,19,Sedan,6,17458,1,false
441,68,Tractor,19,5509,0,false
442,27,Tractor,13,20047,0,true
443,26,Tractor,2,7801,2,false
444,44,Tractor,14,14522,2,false
445,33,SUV,10,14892,0,false
446,70,Truck,12,16439,1,false
447,33,Tractor,6,20974,4,true
448,70,Sedan,15,26645,1,false
449,65,Tractor,18,11186,3,false
450,57,Tractor,19,26767,5,false
451,68,SUV,1,13661,3,true
452,44,SUV,9,21181,1,false
453,75,Sedan,16,8811,1,true
454,56,SUV,6,6429,5,false
455,46,Tractor,0,17734,4,false
456,40,Sedan,20,27574,1,true
457,31,Tractor,18,29045,1,true
458,76,Motorcycle,18,21360,3,false
459,39,Truck,7,26743,0,false
460,18,Motorcycle,16,25911,0,false
461,69,Truck,5,17351,2,false
462,51,SUV,12,15983,4,true
463,71,Tractor,1,26688,3,true
464,67,Truck,4,23559,3,false
465,49,SUV,5,29027,2,false
466,69,Tractor,4,15297,5,false
467,45,Tractor,14,23242,0,false
468,36,Tractor,0,23919,4,false
469,62,Tractor,19,29127,1,true
470,40,Tractor,9,8100,2,true
471,63,Motorcycle,15,15180,4,true
472,60,Sedan,11,18906,3,false
473,66,Sedan,7,13272,2,true
474,40,SUV,7,15885,1,true
475,40,Tractor,16,29131,5,true
476,51,SUV,18,8667,5,true
477,76,Motorcycle,1,14477,3,true
478,58,SUV,8,17062,0,false
479,72,Sedan,11,29997,2,false
480,23,Sedan,15,15280,4,false
481,64,Sedan,6,14173,1,true
482,45,SUV,8,22198,2,true
483,80,Motorcycle,20,29055,3,true
484,21,Sedan,19,5727,1,true
485,60,Motorcycle,19,26798,4,false
486,73,Tractor,20,12887,3,true
487,50,SUV,18,9683,5,false
488,58,Tractor,0,25776,3,false
489,26,Truck,1,18211,4,true
490,27,Tractor,13,20713,5,true
491,31,Sedan,5,25787,4,true
492,25,Sedan,9,6031,2,false
493,66,Motorcycle,11,8427,4,false
494,55,Motorcycle,15,26997,1,true
495,30,Truck,17,15695,0,true
496,30,Sedan,0,26543,3,true
497,32,Sedan,3,10236,3,true
498,64,SUV,19,25657,4,true
499,61,SUV,6,29841,4,true
500,22,Truck,15,27785,3,true
501,58,SUV,11,16514,0,true
502,38,Motorcycle,15,27291,2,false
503,67,SUV,4,24207,4,true
504,24,Tractor,15,16177,3,true
505,19,Sedan,11,24078,5,false
506,26,Sedan,19,9172,3,true
507,66,Motorcycle,19,23412,1,true
508,36,Sedan,3,26736,5,false
509,50,Motorcycle,2,17443,2,true
510,52,SUV,2,5792,4,false
511,22,Tractor,20,15612,4,false
512,74,Sedan,15,27123,2,false
513,62,Tractor,5,7005,3,true
514,36,Motorcycle,7,6451,5,false
515,52,Sedan,7,7095,3,true
516,35,Motorcycle,14,5722,3,true
517,34,Tractor,15,14956,4,true
518,36,SUV,5,29384,4,false
519,55,Sedan,13,25340,5,false
520,70,Truck,2,17761,4,false
521,22,SUV,11,18338,0,false
522,46,Sedan,4,24612,4,false
523,57,SUV,18,23561,3,false
524,39,Motorcycle,5,17079,5,true
525,23,Truck,11,11644,0,false
526,43,SUV,13,12727,5,true
527,66,SUV,11,18173,2,false
528,66,Tractor,14,17409,2,true
529,78,Truck,20,25373,4,false
530,18,Sedan,2,9165,3,false
531,61,Truck,0,19039,0,false
532,76,Tractor,6,20193,4,true
533,42,Tractor,5,16454,5,true
534,49,Sedan,9,27911,4,true
535,63,Tractor,8,5944,1,true
536,49,Tractor,2,6720,0,false
537,60,Truck,1,9545,0,false
538,70,Tractor,20,21237,3,true
539,79,Truck,11,16787,2,false
540,46,Tractor,5,16513,1,false
541,26,Tractor,1,21196,0,false
542,35,Motorcycle,8,13256,0,false
543,44,SUV,3,11154,1,true
544,21,Motorcycle,1,6262,0,false
545,60,Tractor,4,9714,2,false
546,19,Tractor,2,16604,0,true
547,57,Tractor,13,11326,5,true
548,72,SUV,0,5116,2,false
549,74,Motorcycle,14,26366,0,true
550,51,Motorcycle,16,25125,1,false
551,76,Sedan,12,27951,3,false
552,51,Tractor,5,29894,5,false
553,77,SUV,10,21707,4,true
554,59,Motorcycle,2,26953,4,false
555,33,Tractor,10,24029,2,false
556,33,Sedan,15,27248,3,true
557,36,Tractor,18,11545,4,false
558,76,Tractor,2,11469,1,true
559,23,Sedan,4,20091,1,true
560,33,Sedan,20,11675,0,true
561,57,Tractor,4,28524,1,false
562,26,SUV,7,15756,1,true
563,65,Sedan,11,13367,3,true
564,39,Tractor,20,21774,1,false
565,65,Motorcycle,2,12191,0,false
566,20,Motorcycle,0,14025,3,false
567,38,Tractor,18,22664,5,false
568,27,Tractor,18,18464,2,true
569,54,Truck,9,8144,4,true
570,60,Motorcycle,13,15585,2,true
571,27,Tractor,11,21037,4,false
572,25,Tractor,7,7537,1,false
573,73,Tractor,2,7079,0,false
574,40,Motorcycle,19,29564,1,true
575,68,SUV,16,5748,5,false
576,31,Truck,8,13552,2,false
577,48,Tractor,12,13694,0,true
578,73,Motorcycle,9,5969,5,false
579,37,Truck,16,7417,0,false
580,22,Motorcycle,2,22663,1,true
581,49,Truck,4,23857,1,true
582,24,Sedan,3,14947,0,false
583,78,Truck,0,26075,4,true
584,33,Motorcycle,10,29053,3,true
585,57,SUV,16,19974,1,true
586,41,Motorcycle,11,27139,1,true
587,46,Sedan,4,7910,0,true
588,27,Tractor,0,28657,2,true
589,77,Tractor,8,29462,0,false
590,48,Truck,16,13895,0,true
591,59,Sedan,15,28119,1,false
592,21,Tractor,17,24995,0,true
593,65,Sedan,10,27135,5,false
594,60,Sedan,5,22726,0,false
595,50,Sedan,7,28897,0,true
596,48,Truck,1,13876,2,true
597,44,Truck,10,16096,3,false
598,59,Sedan,11,12239,5,true
599,42,Sedan,0,10862,5,true
600,21,Tractor,15,17875,4,false
601,49,Tractor,16,18811,3,true
602,45,Tractor,6,11506,3,true
603,74,Sedan,6,29883,2,true
604,19,Motorcycle,12,19591,1,true
605,64,Sedan,18,22254,4,false
606,22,Motorcycle,19,5772,5,true
607,62,Truck,11,26132,4,true
608,76,Sedan,13,17613,3,true
609,55,Sedan,11,29752,1,true
610,56,Tractor,6,11713,0,false
611,29,Sedan,19,10779,5,false
612,56,Sedan,13,5550,1,true
613,73,Sedan,7,28387,3,true
614,62,Sedan,12,11886,4,true
615,38,SUV,5,26840,1,false
616,73,Sedan,6,21782,1,true
617,70,Truck,3,9808,5,false
618,48,Motorcycle,15,11924,4,true
619,73,Tractor,16,23932,5,false
620,29,Truck,0,25342,2,true
621,80,Truck,5,8467,0,false
622,38,Truck,19,26864,0,false
623,33,Tractor,17,18690,1,false
624,35,Sedan,15,22364,4,false
625,47,SUV,9,29067,0,true
626,77,Sedan,12,28186,5,true
627,68,Sedan,16,5963,2,false
628,56,Tractor,9,21526,0,false
629,39,Sedan,14,6386,4,true
630,38,SUV,10,15908,0,true
631,37,Truck,16,5247,1,true
632,63,SUV,17,19340,0,true
633,70,Tractor,5,28334,5,true
634,52,Motorcycle,4,20256,2,true
635,70,Sedan,2,21697,4,false
636,18,Sedan,7,21352,4,false
637,34,Truck,4,22929,4,true
638,65,Sedan,9,24536,0,true
639,80,Tractor,18,19300,5,true
640,73,Tractor,9,13085,2,false
641,32,Motorcycle,16,5055,5,true
642,80,Motorcycle,19,16213,1,false
643,37,SUV,13,27533,4,true
644,62,Truck,2,28491,1,false
645,19,Truck,9,12162,1,false
646,24,SUV,20,9110,1,false
647,77,Sedan,8,8331,5,true
648,34,Tractor,20,18345,1,true
649,76,SUV,17,19628,3,false
650,57,SUV,20,25985,2,false
651,22,Truck,5,26751,5,true
652,29,Tractor,9,15615,1,false
653,70,SUV,19,25011,0,true
654,52,Truck,10,13407,0,false
655,38,Tractor,10,23372,4,true
656,43,Tractor,16,22465,2,true
657,20,SUV,1,5271,3,true
658,64,Tractor,15,14791,5,true
659,20,Tractor,20,15847,5,true
660,80,Tractor,20,12342,1,false
661,75,Sedan,7,8956,4,true
662,37,Tractor,10,27350,1,true
663,74,Sedan,19,9585,3,true
664,21,SUV,10,8317,3,true
665,78,Tractor,2,17572,5,true
666,55,SUV,3,29427,4,false
667,62,Tractor,16,21516,4,false
668,27,Sedan,11,26849,0,true
669,48,Sedan,5,9505,4,true
670,80,SUV,0,12489,1,true
671,74,SUV,5,24905,5,true
672,53,Motorcycle,16,23551,0,false
673,56,Truck,18,19524,0,true
674,67,Motorcycle,8,22100,3,false
675,33,Sedan,15,29184,1,false
676,68,Motorcycle,12,28234,3,false
677,24,SUV,7,6684,4,true
678,57,Tractor,4,8226,4,true
679,61,Truck,6,28528,5,true
680,28,SUV,19,18534,1,false
681,68,Sedan,7,6438,2,true
682,42,SUV,17,20757,5,true
683,67,Tractor,14,6091,1,true
684,39,SUV,6,23722,1,false
685,79,Tractor,3,24013,3,true
686,42,Sedan,4,12316,2,true
687,52,Tractor,12,28397,0,false
688,42,Truck,2,26420,2,false
689,18,Sedan,20,13303,5,false
690,46,Truck,2,14315,3,true
691,77,Tractor,1,26598,5,false
692,50,Motorcycle,12,12379,4,false
693,71,Truck,13,19536,3,true
694,69,Tractor,14,11245,3,false
695,42,Truck,12,12801,3,false
696,41,Motorcycle,13,20984,2,false
697,32,SUV,4,28423,2,false
698,51,Sedan,17,9256,5,true
699,68,Tractor,11,10047,3,true
700,71,Truck,15,5757,0,false
701,40,Motorcycle,15,26127,5,false
702,68,Truck,4,29854,2,true
703,78,SUV,5,26508,4,true
704,49,Tractor,2,21758,1,true
705,70,Motorcycle,12,7029,0,true
706,56,SUV,10,29292,5,true
707,75,Sedan,2,26735,1,false
708,62,Motorcycle,20,6194,5,true
709,44,Truck,12,7323,1,true
710,80,SUV,8,10281,5,false
711,28,Truck,11,13292,2,true
712,80,Sedan,0,22553,5,true
713,29,Tractor,13,16985,5,false
714,50,Truck,11,23048,1,false
715,20,SUV,15,22347,4,true
716,33,Truck,12,6719,5,false
717,79,Tractor,20,29402,3,false
718,51,Truck,14,15096,4,true
719,56,Sedan,14,11564,5,false
720,44,SUV,12,12594,0,false
721,47,Sedan,13,6823,4,false
722,58,Truck,11,10591,0,false
723,68,Motorcycle,2,27776,5,true
724,58,SUV,7,26824,0,false
725,80,Sedan,17,29887,5,false
726,45,Sedan,19,21295,2,true
727,60,Tractor,0,22277,4,true
728,51,Tractor,18,12982,0,true
729,29,Truck,14,16989,4,true
730,22,Tractor,3,10860,2,false
731,39,Sedan,8,24948,5,false
732,71,Motorcycle,4,25566,1,false
733,68,Truck,19,11702,5,false
734,61,SUV,13,28639,5,false
735,56,Sedan,13,19043,1,false
736,26,Motorcycle,6,13586,1,false
737,56,Tractor,3,10735,3,false
738,61,SUV,19,26812,2,true
739,47,Sedan,18,23909,0,false
740,45,Tractor,18,20478,4,false
741,75,SUV,20,12021,2,true
742,30,SUV,14,18589,1,true
743,73,SUV,17,27207,4,true
744,20,SUV,7,6979,5,false
745,34,SUV,16,5164,2,false
746,72,Sedan,10,22458,0,true
747,64,Tractor,9,15024,4,true
748,79,SUV,4,13936,4,true
749,28,Tractor,20,16713,4,true
750,34,Tractor,12,28939,2,false
751,26,Sedan,3,20663,0,true
752,75,Tractor,0,23068,1,false
753,79,Sedan,1,27505,5,false
754,70,Truck,6,21241,2,true
755,80,Tractor,18,24723,5,true
756,63,Truck,15,21802,4,true
757,59,Tractor,13,22494,2,true
758,59,Tractor,3,12994,5,true
759,57,Tractor,18,12860,3,true
760,28,Tractor,2,27932,1,true
761,18,Truck,2,19492,4,true
762,25,SUV,17,14988,2,false
763,70,Tractor,10,19855,2,true
764,72,Tractor,1,19756,2,true
765,22,Truck,2,25044,1,false
766,29,Tractor,6,16428,4,false
767,19,Motorcycle,14,23532,3,true
768,33,Truck,5,26740,0,true
769,27,Sedan,19,21397,3,true
770,48,Motorcycle,6,22219,3,false
771,53,Tractor,16,21903,0,false
772,80,Motorcycle,20,24057,0,true
773,73,SUV,15,21376,0,true
